"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"200","155_Previous pregnancies","","",0,"NA","NaN","210",0,"GenR"
"201","156_Prosocial behavior - SDQ","","",0,"NA","NaN","210",0,"GenR"
"202","157_Prosocial Tendencies Measures","helping others,prosocial behavior,prosocial behaviour","1,1,1",2,"prosocial behavior,Personality,Social cognition and behavior,NA","0.5,0.33,0.17,0","1,1,1,209",2,"GenR"
"203","158_Psychological assistence ","mental health,treatment,mental health care,psychological disorder,psychological problems","2,2,1,1,1",2,"Mental health,Lifestyle,care use,NA","0.67,0.17,0.17,0","2,1,1,209",2,"GenR"
"204","159_Pubertal development","development of secondary sexual characteristics,pubertal development,puberty","1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"205","16_Blood pressure","","",2,"Physiology,Physical health,blood pressure,Lifestyle,NA","0.5,0.25,0.17,0.08,0","2,1,1,1,209",2,"GenR"
"206","160_Ravens advanced progressive matrices test. Set I","cognition,iq,maternal iq","1,1,1",1,"Cognition,Social cognition and behavior,NA","0.67,0.33,0","1,1,210",1,"GenR"
"207","161_Referred for treatment for emotional or behavioral problems","","",0,"NA","NaN","210",0,"GenR"
"208","162_Religion","christian,jewish,muslim,religion,religious practices","1,1,1,1,1",1,"Demographics,NA","1,0","1,210",1,"GenR"
"209","163_Risk taking","","",0,"NA","NaN","210",0,"GenR"
"210","164_Rosenberg scale","","",1,"Personality,Mental health,Social cognition and behavior,Social and emotional development,NA","0.4,0.2,0.2,0.2,0","1,1,1,1,210",1,"GenR"
"211","165_Scale of Van der Wal  ","maternal sensitivity,parent-child relationship","1,1",1,"Parenting,Mental health,Personality,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,210",1,"GenR"
"212","166_School (conditions to study at home)","education during covid,home education facilities,online education,studying from home","1,1,1,1",2,"education,Demographics,Cognition,Lifestyle,Parenting,Physical health,Mental health,NA","0.33,0.17,0.14,0.14,0.07,0.07,0.07,0","1,1,1,1,1,1,1,209",2,"GenR"
"213","167_School career","","",0,"NA","NaN","210",0,"GenR"
"214","168_School enjoyment","joy at school,school enjoyment","1,1",1,"Social and emotional development,Mental health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"215","169_School of child","cognition,education,educational level,school","1,1,1,1",1,"Cognition,Social cognition and behavior,Mental health,Social and emotional development,NA","0.43,0.29,0.14,0.14,0","1,1,1,1,210",1,"GenR"
"216","17_Blood sample","dna methylation,genetics","1,1",1,"Physical health,Physiology,Lifestyle,NA","0.5,0.33,0.17,0","2,1,1,210",2,"GenR"
"217","170_Screen for child anxiety related disorders (SCARED)","anxiety,child,mental health,psychological disorders,psychopathology","3,1,1,1,1",3,"Mental health,anxiety,psychopathology,Personality,Social and emotional development,Life history,NA","0.41,0.28,0.11,0.1,0.07,0.03,0","3,2,1,1,1,1,207",3,"GenR"
"218","171_Screentime (tv, video, dvd, pc)","gaming,parental supervision,parenting,physical heath,screen time,tv watching,use of screens","1,1,1,1,1,1,1",2,"Parenting,Physical health,Lifestyle,activities in free time,NA","0.33,0.33,0.25,0.08,0","2,1,1,1,209",2,"GenR"
"219","172_Short big five inventory (BFI-s)","big 5 personalities,personality","1,1",1,"Personality,NA","1,0","1,210",1,"GenR"
"220","173_Short Ruminative Response Scale (RRS) questionnaire","","",1,"Mental health,Personality,NA","0.67,0.33,0","1,1,210",1,"GenR"
"221","174_Situation at home (ISAAC)","","",0,"NA","NaN","210",0,"GenR"
"222","175_Skin color analysis","","",1,"Demographics,ethnicity,NA","0.67,0.33,0","1,1,209",1,"GenR"
"223","176_Skin swab (head, elbow)","","",0,"NA","NaN","210",0,"GenR"
"224","177_Sleep diary","","",0,"NA","NaN","210",0,"GenR"
"225","178_Sleep habits survey (SHS)","","",1,"Lifestyle,NA","1,0","1,210",1,"GenR"
"226","179_Sleeping and toilet training","","",0,"NA","NaN","210",0,"GenR"
"227","18_Bone mineral density and related measures","","",0,"NA","NaN","210",0,"GenR"
"228","180_Sleeping regulatory problems","circadian rhythm,sleep,sleep problems,sleeping","1,1,1,1",2,"Physiology,sleep,Physical health,sleep problems,brain development,circadian rhythm,NA","0.25,0.25,0.17,0.17,0.08,0.08,0","1,1,1,1,1,1,206",2,"GenR"
"229","181_Smoking, alcohol, and drug use (cannabis/hashish, laughing gas)","","",0,"NA","NaN","210",0,"GenR"
"230","182_Social media, chatting and gaming","","",0,"NA","NaN","210",0,"GenR"
"231","183_Social readjusting rating scale","","",0,"NA","NaN","210",0,"GenR"
"232","184_Social Responsiveness Scale ","","",0,"NA","NaN","210",0,"GenR"
"233","185_Social stress (social circumstances)","","",0,"NA","NaN","210",0,"GenR"
"234","186_Social support list","social support,mental health,mother,ses,social network","2,1,1,1,1",2,"Demographics,Social cognition and behavior,Mental health,Lifestyle,Personality,Parenting,NA","0.33,0.2,0.17,0.15,0.1,0.05,0","1,1,1,1,1,1,210",2,"GenR"
"235","187_Somatic complaints and use of medication","","",0,"NA","NaN","210",0,"GenR"
"236","188_Stability of Acitivities in the Family Environment-Revised (SAFE-R)","","",0,"NA","NaN","210",0,"GenR"
"237","189_Stanford feeding questionnaire","eating behaviour,eating disorder,eating problems,feeding,picky eating","1,1,1,1,1",2,"Lifestyle,nutrition,NA","0.67,0.33,0","2,1,209",2,"GenR"
"238","19_Bones","","",0,"NA","NaN","210",0,"GenR"
"239","190_Strange Situation Procedure","attachment,attachment style,parent-child attachment,strange situation procedure","2,1,1,1",2,"Parenting,Social and emotional development,Social cognition and behavior,NA","0.5,0.42,0.08,0","2,2,1,210",2,"GenR"
"240","191_Substance use","alcohol use,drugs use,smoking,substance use","1,1,1,1",1,"Lifestyle,Social cognition and behavior,NA","0.5,0.5,0","1,1,210",1,"GenR"
"241","192_Tanner","puberty,tanner","1,1",1,"Physical health,Physiology,NA","0.67,0.33,0","1,1,210",1,"GenR"
"242","193_Taste experience","","",0,"NA","NaN","210",0,"GenR"
"243","194_Teacher Report Form (TRF) ","","",0,"Social and emotional development,Mental health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"244","195_The first days","","",0,"NA","NaN","210",0,"GenR"
"245","196_The Parenting Scale: dysfunctional parenting in discipline situations","discipline,parenting","1,1",1,"Parenting,NA","1,0","1,210",1,"GenR"
"246","197_The Perception of Teasing Scale (POTS)","","",0,"NA","NaN","210",0,"GenR"
"247","198_The pregnancy and childbirth","birth characteristics,pregnancy characteristics","1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"248","199_The short obsessive compulsive disorder screener (SOCS)","obsessive compulsive disorder,compulsions,mental health,obsessions,obsessive compulsive symptoms,ocd,ocd symptoms,psychology","2,1,1,1,1,1,1,1",3,"Mental health,psychiatric health,Personality,psychiatry,NA","0.61,0.22,0.11,0.06,0","3,1,1,1,208",3,"GenR"
"249","2_Abdominal fat","","",1,"Physical health,Lifestyle,NA","0.67,0.33,0","1,1,210",1,"GenR"
"250","20_Borderline Personality Features Scale for Children","borderline personality,borderline,children","2,1,1",2,"Mental health,Personality,Social and emotional development,NA","0.42,0.42,0.17,0","2,2,2,210",2,"GenR"
"251","200_The three-factor eating questionnaire","eating behavior,food intake","2,1",2,"Lifestyle,food intake,eating behavior,NA","0.67,0.25,0.08,0","2,1,1,208",2,"GenR"
"252","201_Heart","ecography,heart,ultrasound","1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"253","202_Urine sample","","",0,"NA","NaN","210",0,"GenR"
"254","203_Utrechtse coping lijst (UCL)","coping,coping styles,proactive,problem handling,reaction,reactive","1,1,1,1,1,1",1,"Cognition,Mental health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"255","204_Wechsler Intelligence Scale (WISC-V subsets)","intelligence,iq,wisc-v","1,1,1",1,"Cognition,NA","1,0","1,210",1,"GenR"
"256","205_Wellbeing (affective and cognitive)","emotional development,mental health","1,1",1,"Social and emotional development,Social cognition and behavior,Mental health,NA","0.5,0.33,0.17,0","1,1,1,210",1,"GenR"
"257","206_Work and working conditions","dangerous work environment,occupation,toxic exposure,work,working conditions","1,1,1,1,1",1,"parental physical health,Physical health,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,209",1,"GenR"
"258","207_Youth self report (YSR)","","",0,"NA","NaN","210",0,"GenR"
"259","21_Brain structure","brain structure,brain volume","1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"260","22_Breastfeeding","","",0,"NA","NaN","210",0,"GenR"
"261","23_Brief problem monitor-youth form (BMP-p)","emotional development,problem behavior,psychopathology","1,1,1",1,"Mental health,Personality,Life history,NA","0.5,0.33,0.17,0","1,1,1,210",1,"GenR"
"262","24_Brief symptom inventory (BSI)","parental mental health,parental mood disorders,parental psychopathology","1,1,1",1,"Mental health,Personality,Life history,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,210",1,"GenR"
"263","25_Bullying and Victimization","","",1,"bullying,NA","1,0","1,209",1,"GenR"
"264","26_Cannabis Experiences Questionnaire - Intoxication effects checklist (CEQ-I)","","",0,"NA","NaN","210",0,"GenR"
"265","27_Cardiac and renal structure","cardiac and renal structure,heart,imaging,kidney","1,1,1,1",2,"Physiology,Physical health,NA","0.83,0.17,0","2,1,210",2,"GenR"
"266","28_Cardiac development","","",0,"NA","NaN","210",0,"GenR"
"267","29_CBCL 6-18-Competence scales","activities,child behaviour,child behaviour problems,competence,friends,friendships,hobbies","1,1,1,1,1,1,1",2,"Social cognition and behavior,Social and emotional development,Mental health,NA","0.5,0.33,0.17,0","2,1,1,210",2,"GenR"
"268","3_Accidents","accidents,injuries","1,1",1,"Physical health,NA","1,0","1,210",1,"GenR"
"269","30_Child Behavior Checklist (CBCL)","behavior problems,child mental health,externalizing problems,internalizing problems","1,1,1,1",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,210",1,"GenR"
"270","31_Child Behavior Questionnaire (CBQ)","child behavior,child temperament,personality,temperament","1,1,1,1",2,"Personality,temperament,Social cognition and behavior,Social and emotional development,Mental health,NA","0.53,0.17,0.15,0.1,0.05,0","2,1,1,1,1,209",2,"GenR"
"271","32_Child Behaviour Conflicts Scale","family conflict,harsh parenting,parenting","1,1,1",1,"Parenting,Social cognition and behavior,NA","0.67,0.33,0","1,1,210",1,"GenR"
"272","33_Child care","","",0,"NA","NaN","210",0,"GenR"
"273","34_Child caregiving involvement scale","","",0,"NA","NaN","210",0,"GenR"
"274","35_Child Feeding Questionnaire (CFQ).","","",1,"Physical health,Parenting,NA","0.67,0.33,0","1,1,210",1,"GenR"
"275","36_Child-care attitude and emotional disturbance among mothers of young children","","",0,"NA","NaN","210",0,"GenR"
"276","37_Childhood trauma questionnaire (CTQ)","child abuse and neglect,early life stress","1,1",1,"Mental health,Life history,Lifestyle,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,210",1,"GenR"
"277","38_Children’s body image scale","","",0,"NA","NaN","210",0,"GenR"
"278","39_Children’s Eating Behaviour Questionnaire (CEBQ)","","",0,"NA","NaN","210",0,"GenR"
"279","4_Actigraphy ","","",0,"NA","NaN","210",0,"GenR"
"280","40_Children’s worry management scale","emotional development,mood,mood disorders,psychopathology,self-regulation,temperament","1,1,1,1,1,1",2,"Mental health,Social and emotional development,mood (disorders),Social cognition and behavior,psychopathology,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,208",2,"GenR"
"281","41_Child's health","","",0,"NA","NaN","210",0,"GenR"
"282","42_Child's perception of neighborhood","","",0,"NA","NaN","210",0,"GenR"
"283","43_CITO score","academic performance,intelligence","1,1",1,"Cognition,NA","1,0","1,210",1,"GenR"
"284","44_Compliance and active resistance","","",0,"NA","NaN","210",0,"GenR"
"285","45_Composite International Diagnostic Interview (CIDI)","intergenerational psychopathology,psychopathology","1,1",1,"psychopathology,Mental health,NA","0.67,0.33,0","1,1,209",1,"GenR"
"286","46_Conners rating scale","adhd,conners,psychopathology","1,1,1",1,"Mental health,Social cognition and behavior,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,210",1,"GenR"
"287","47_Cord blood sample at birth","","",0,"NA","NaN","210",0,"GenR"
"288","48_COVID-19 specific items ","covid-19,adherence,behavior,behaviour related to covid-19/corona,concerns,corona,corona virus,crisis,health behaviour,infection,pandemic,symptoms","2,1,1,1,1,1,1,1,1,1,1,1",2,"Physical health,Lifestyle,NA","0.67,0.33,0","2,2,210",2,"GenR"
"289","49_Criticism and Emotional Overinvolvement (EO)","","",0,"NA","NaN","210",0,"GenR"
"290","5_Adapted children’s sleep habits questionnaire – sleep self report","sleep,sleep duration,sleep habits","1,1,1",1,"Life history,Physical health,Mental health,NA","0.5,0.33,0.17,0","1,1,1,210",1,"GenR"
"291","50_Crying","","",1,"Physical health,NA","1,0","1,210",1,"GenR"
"292","51_Culture, social contacts","","",0,"NA","NaN","210",0,"GenR"
"293","52_Delinquent behaviour","criminal behaviour,delinquency,delinquent behavior,offences","1,1,1,1",1,"externalizing behaviour,Mental health,NA","0.67,0.33,0","1,1,209",1,"GenR"
"294","53_Delusions -  Derived from K-SADS","delusions,mental health,psychiatry","1,1,1",1,"Mental health,psychiatry,NA","0.67,0.33,0","1,1,209",1,"GenR"
"295","54_Demographics (education, age, living situation)","","",1,"Demographics,NA","1,0","1,210",1,"GenR"
"296","55_Dental status and development","","",0,"NA","NaN","210",0,"GenR"
"297","56_Development and behavior (Motor, language and skills - IDI'94, ISAAC)","","",0,"NA","NaN","210",0,"GenR"
"298","57_Drive for Muscularity Scale","","",0,"NA","NaN","210",0,"GenR"
"299","58_Dutch Eating Behaviour Questionnaire (DEBQ)","eating,eating behavior,anorexia,binge eating,bulimia,eating behaviour,eating disorder,eating disorders,nutrition","2,2,1,1,1,1,1,1,1",3,"Mental health,Lifestyle,Physical health,nutrition,Life history,NA","0.33,0.22,0.17,0.17,0.11,0","3,2,1,1,1,209",3,"GenR"
"300","59_Early Adolescent Temperament Questionnaire ","temperament,children,personality disorder","3,1,1",3,"Personality,temperament,Social and emotional development,NA","0.44,0.33,0.22,0","2,1,2,209",3,"GenR"
"301","6_Air pollution and  road traffic noise ","air pollution,environmental exposure","1,1",1,"Demographics,NA","1,0","1,210",1,"GenR"
"302","60_Eating behavior and watching tv","","",0,"NA","NaN","210",0,"GenR"
"303","61_Edinburgh postnatal depression scale (EPDS)","depression,depressive disorder,maternity blues,postnatal depression,postpartum depression","1,1,1,1,1",1,"Mental health,NA","1,0","1,210",1,"GenR"
"304","62_Education and work","","",1,"Demographics,NA","1,0","1,210",1,"GenR"
"305","63_Electro cardiography (ECG)","ecg,electro cardiography,electrocardigraphy,heart,heart rate,heart rate variability,rhythym","2,1,1,1,1,1,1",3,"Physiology,Physical health,heart,NA","0.78,0.17,0.06,0","3,1,1,209",3,"GenR"
"306","64_Emotional complaints","mental health,psychiatric history,psychological disorder","1,1,1",1,"Mental health,psychiatric history,NA","0.67,0.33,0","1,1,209",1,"GenR"
"307","65_Emotional regulation/temperament (4 Lab-TAB tasks)","","",0,"NA","NaN","210",0,"GenR"
"308","66_Empathy for children and adolescents (IECA)","adolescents,children,empathy,social interaction","1,1,1,1",1,"Social and emotional development,Personality,Mental health,NA","0.5,0.33,0.17,0","1,1,1,210",1,"GenR"
"309","67_Endothelial function","","",0,"NA","NaN","210",0,"GenR"
"310","68_Eye level (app)","","",0,"NA","NaN","210",0,"GenR"
"311","69_Eyes, retinal vasculature, refraction (retinal imaging)","?,eye measurements,ophthalmic measurements","1,1,1",2,"Physical health,NA","1,0","1,210",1,"GenR"
"312","7_Alabama Parenting Questionnaire","discipline,involvement,parenting,positive parenting,punishment,rearing,supervision","1,1,1,1,1,1,1",1,"Parenting,NA","1,0","1,210",1,"GenR"
"313","70_Eyes: visual acuity, retinal picture, refraction, IOL master, OCT","","",1,"NA","NaN","210",0,"GenR"
"314","71_Face development","","",0,"NA","NaN","210",0,"GenR"
"315","72_Faeces sample for microbiota","faeces,microbiome","1,1",1,"Physical health,NA","1,0","1,210",1,"GenR"
"316","73_Family Assessment Device (FAD), general functioning subscale (GF)","family dynamics,family functioning,family interaction,parenting","1,1,1,1",3,"Parenting,Life history,Social and emotional development,NA","0.78,0.11,0.11,0","3,1,1,210",3,"GenR"
"317","74_Family in which you grew up (CBS GE, GLOBE)","","",1,"Demographics,NA","1,0","1,210",1,"GenR"
"318","75_Family situation (incl. Marital status, composition)","marital status,family composition,family situation,house crowding,household,household information","2,1,1,1,1,1",3,"Demographics,social class,Parenting,NA","0.83,0.11,0.06,0","3,1,1,209",3,"GenR"
"319","76_Feeding (nutrition)","eating behavior,feeding","1,1",1,"Parenting,Physical health,Lifestyle,NA","0.33,0.33,0.33,0","1,1,1,210",1,"GenR"
"320","77_Feeding your child","breast feeding,eating behaviour,nutrition","1,1,1",1,"nutrition,Parenting,Lifestyle,NA","0.5,0.25,0.25,0","1,1,1,209",1,"GenR"
"321","78_Fetal brain development","fetal development,prenatal environment,programming","1,1,1",1,"Physiology,Physical health,Mental health,NA","0.5,0.33,0.17,0","1,1,1,210",1,"GenR"
"322","79_Fetal growth patterns (head circumference, biparietal diameter, abdominal circumference, femur length)","biometrics,gestation,growth,imaging","1,1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"323","8_Arc’s self-determination scale","","",0,"NA","NaN","210",0,"GenR"
"324","80_Food frequency questionnaire. FFQ ","","",0,"NA","NaN","210",0,"GenR"
"325","81_Friendship quality questionnaire","","",0,"NA","NaN","210",0,"GenR"
"326","82_Gender experiences (GIDYQ)","","",0,"NA","NaN","210",0,"GenR"
"327","83_General health of parents","medical history,parental health,parental somatic health","1,1,1",2,"Demographics,Physical health,medical history,NA","0.5,0.33,0.17,0","2,1,1,209",2,"GenR"
"328","84_Hair sample","biological measures (not sure what this measures,cortisol??)","1,1",1,"biological measure,NA","1,0","1,209",1,"GenR"
"329","85_Handedness","","",1,"handedness,NA","1,0","1,209",1,"GenR"
"330","86_Harter’s Self-Perception Profile for Children ","competence,self-perception","1,1",1,"Social and emotional development,Social cognition and behavior,NA","0.67,0.33,0","1,1,210",1,"GenR"
"331","87_Health Behaviour in School-aged Children (HBSC)","bmi,health,healty eating practices,lifestyle","1,1,1,1",1,"Lifestyle,Physiology,Physical health,bmi,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,209",1,"GenR"
"332","88_Health during this pregnancy","health,physical health,pregnancy,pregnancy health","1,1,1,1",2,"Physical health,prenatal measures,pregnancy,NA","0.5,0.33,0.17,0","1,1,1,208",2,"GenR"
"333","89_Health related quality of-life","","",1,"quality of life,NA","1,0","1,209",1,"GenR"
"334","9_Arterial stiffness","cardiovascular disease,cvd,ecg,heart","1,1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,210",1,"GenR"
"335","90_Hearing","audiometry,hearing,hearing performance","1,1,1",2,"Physical health,Life history,NA","0.83,0.17,0","2,1,210",2,"GenR"
"336","91_Height, weight, head circumference, skinfold thickness (subcutaneous fat mass), waist-hip ratio, referal to doctor, and vaccinations","","",0,"NA","NaN","210",0,"GenR"
"337","92_Home (damp, stains, smoking, pets, noise)","damp,home environment,pets,smoking,bugs,cleanliness home,home,noice,noise,stains","2,2,2,2,1,1,1,1,1,1",2,"environmental characteristics,Demographics,Lifestyle,Physical health,NA","0.33,0.25,0.25,0.17,0","1,2,1,1,209",2,"GenR"
"338","93_Home and family situation","","",1,"Parenting,Physiology,NA","0.67,0.33,0","1,1,210",1,"GenR"
"339","94_Home environment assessment ","attachment,parent-child relationship,parenting behavior","1,1,1",1,"Parenting,Social and emotional development,Social cognition and behavior,Mental health,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,210",1,"GenR"
"340","95_Home situation","","",0,"NA","NaN","210",0,"GenR"
"341","96_Income and expenses","adolescent income,child expenses,child income,ses,spending behavior","1,1,1,1,1",2,"Demographics,Lifestyle,NA","0.5,0.5,0","1,1,210",2,"GenR"
"342","97_Infant Behavior Questionnaire - Revised (IBQ)","","",1,"Mental health,Parenting,Life history,NA","0.5,0.25,0.25,0","1,1,1,210",1,"GenR"
"343","98_Interaction with friends and family","cbcl,competence scale,getting along,playing outside,social interaction,social relationships","1,1,1,1,1,1",1,"Social cognition and behavior,Social and emotional development,NA","0.67,0.33,0","1,1,210",1,"GenR"
"344","99_International physical activity questionnaire (IPAQ)","physical activity,mental health,moving,parental activity","2,1,1,1",2,"Physical health,parental physical health,Mental health,Parenting,Lifestyle,NA","0.48,0.2,0.17,0.1,0.05,0","2,1,1,1,1,209",2,"GenR"
"345","1_Acculturation Scale (AC)","cultural minorities,cultural processes","1,1",1,"NA","NaN","210",0,"RADAR"
"346","10_Child Behavior Checklist (CBCL)","","",0,"NA","NaN","210",0,"RADAR"
"347","11_Children's Depression Inventory (CDI)","","",0,"NA","NaN","210",0,"RADAR"
"348","12_Childhood Trauma Questionnaire (CTQ)","","",0,"NA","NaN","210",0,"RADAR"
"349","13_Children's Report of Parental Behavior Inventory (CRPBI)","parent-child relationship,parenting behavior","1,1",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"350","14_Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","","",0,"NA","NaN","210",0,"RADAR"
"351","15_Conflict Awareness (CA)",",family relationships,parental conflict,relationship quality","1,1,1,1",1,"Parenting,Social cognition and behavior,NA","0.67,0.33,0","1,1,210",1,"RADAR"
"352","16_Conflict Resolution Style Inventory (CRSI)",",conflict,interpersonal conflict,interpersonal relationships,personal relationships","1,1,1,1,1",1,"Personality,Social cognition and behavior,Social and emotional development,NA","0.4,0.4,0.2,0","1,1,1,210",1,"RADAR"
"353","17_Conflict task",",family relationships,parent-adolescent conflict,parent-adolescent relationships,parent-child relationship quality,parent-child relationships","1,1,1,1,1,1",2,"Parenting,parent-child relationship quality,Personality,Social cognition and behavior,NA","0.42,0.33,0.12,0.12,0","2,1,1,1,209",2,"RADAR"
"354","18_Cortisol awakening response","","",0,"Physiology,NA","1,0","1,210",1,"RADAR"
"355","19_Daily Hassles (DH)","","",0,"NA","NaN","210",0,"RADAR"
"356","2_Adult Self-Report (ASR)","","",0,"NA","NaN","210",0,"RADAR"
"357","20_Daily Mood Device (DMD)","","",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,210",1,"RADAR"
"358","21_Delay of Gratification Task ","","",0,"NA","NaN","210",0,"RADAR"
"359","22_Delinquency - Self-Report of Delinquent Behavior (ZD)","adolescent delinquent behavior,delinquent behavior,drug use,externalizing behaviors,externalizing symptoms,rule-breaking behavior,substance use","1,1,1,1,1,1,1",1,"delinquent behavior,NA","1,0","1,209",1,"RADAR"
"360","23_Delinquent Friends/Basic Questionnaire Peers (BL)",",externalizing problems,interpersonal relationships,peer contact","1,1,1,1",1,"Lifestyle,Social cognition and behavior,Mental health,NA","0.4,0.4,0.2,0","1,1,1,210",1,"RADAR"
"361","24_Demographics","background variables,control variables,covariates","1,1,1",1,"NA","NaN","210",0,"RADAR"
"362","25_Diagnostic Interview Schedule for Children (DISC-IV)","diagnostic interview,disc,dsm-diagnoses,dsm=screening","1,1,1,1",1,"Mental health,NA","1,0","1,210",1,"RADAR"
"363","26_Difficulties in Emotion Regulation Scale (DERS)",",emotion regulation,impulse control","1,1,1",1,"Social and emotional development,NA","1,0","1,210",1,"RADAR"
"364","27_Direct and Indirect Aggression Scales","","",0,"NA","NaN","210",0,"RADAR"
"365","28_Disclosure/Secrecy (DS)",",parent-adolescent relationship quality,parenting,relationship quality","1,1,1,1",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"366","29_Discussion task",",adolescent autonomy,family relationships,parent-adolescent relationship,parent-adolescent relationship quality,parenting","1,1,1,1,1,1",1,"Parenting,Personality,Social cognition and behavior,NA","0.5,0.25,0.25,0","1,1,1,210",1,"RADAR"
"367","3_Adult Temperament Questionnaire - Effortful Control (AT)",",personality; temperament,self-control,self-regulation","1,1,1,1",2,"Personality,Social and emotional development,NA","0.83,0.17,0","2,1,210",2,"RADAR"
"368","30_Empathy Task (EMP)","","",0,"NA","NaN","210",0,"RADAR"
"369","31_Free Observation (IT-HOME)","","",1,"household characteristics,NA","1,0","1,209",1,"RADAR"
"370","32_Free Play Observation","","",0,"NA","NaN","210",0,"RADAR"
"371","33_Identity Styles Inventory (IS)","","",0,"NA","NaN","210",0,"RADAR"
"372","34_Index of Empathy for Children and Adolescents (IECA)","","",0,"NA","NaN","210",0,"RADAR"
"373","35_Infant-Toddler Social and Emotional Assessment",",developmental tasks,emotion,empathy,infant temperament","2,1,1,1,1",2,"Personality,Social and emotional development,NA","0.5,0.5,0","1,1,210",1,"RADAR"
"374","36_Interpersonal Conflict Questionnaire (ICQ)","","",0,"NA","NaN","210",0,"RADAR"
"375","37_Interpersonal Reactivity Index (IRI)","","",0,"NA","NaN","210",0,"RADAR"
"376","38_Iowa Gambling Task","impulse control,risk taking","1,1",1,"risk taking,Personality,NA","0.67,0.33,0","1,1,209",1,"RADAR"
"377","39_Level of Expressed Emotion (LEE)","emotional climate,expressed emotion,family climate,family relationships,parent-child relationships,parenting","1,1,1,1,1,1",2,"Parenting,emotional climate,expressed emotions,NA","0.5,0.33,0.17,0","1,1,1,208",2,"RADAR"
"378","4_Ages and Stages Questionnaire - Social-Emotional (ASQ-SE)",",developmental tasks,milestones,socio-emotional development","1,1,1,1",2,"Social and emotional development,Social cognition and behavior,Personality,NA","0.7,0.2,0.1,0","2,1,1,210",2,"RADAR"
"379","40_Life events","","",0,"NA","NaN","210",0,"RADAR"
"380","41_Motor Development - Mijlpalen",",developmental tasks,motor development","1,1,1",2,"motor development,Physical health,Mental health,NA","0.5,0.25,0.25,0","1,1,1,209",2,"RADAR"
"381","42_Network of Relationships Inventory (NRI)","","",0,"NA","NaN","210",0,"RADAR"
"382","43_Nijmeegse Opvoedingsvragenlijst (NOV)",",parental behavior,parenting","1,1,1",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"383","44_Nijmeegse Ouderlijke Stress Index - Acceptance (NOSI-acc)","parenting,,parental behavior","2,1,1",2,"Parenting,NA","1,0","2,210",2,"RADAR"
"384","45_Nijmeegse Ouderlijke Stress Index - Competence (NOSI-Com)","","",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"385","46_Nonverbal communication tasks ","","",0,"NA","NaN","210",0,"RADAR"
"386","47_Parental Care and Tenderness questionnaire (PCAT)",",parental behavior,parenting","1,1,1",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"387","48_Parental Dimensions Inventory (PDI)","","",0,"NA","NaN","210",0,"RADAR"
"388","49_Parental Management of Peers Inventory (PMPI)","","",0,"NA","NaN","210",0,"RADAR"
"389","5_Antisocial Process Screening Device (AP)","","",0,"NA","NaN","210",0,"RADAR"
"390","50_Parenting Practices (PP)","","",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"391","51_Patiënten Gezondsheidsvragenlijst","depression,internalizing problem behavior,screening tool","1,1,1",1,"Mental health,NA","1,0","1,210",1,"RADAR"
"392","52_Pill Use (PG)","","",0,"NA","NaN","210",0,"RADAR"
"393","53_Police and Judicial Contact (PJ/PZ)","","",0,"NA","NaN","210",0,"RADAR"
"394","54_Postpartum Bonding Scale (PBS)","","",1,"Parenting,NA","1,0","1,210",1,"RADAR"
"395","55_Prenatal development","","",1,"pregnancy characteristics,Physical health,NA","0.67,0.33,0","1,1,209",1,"RADAR"
"396","56_Proactive/Reactive Aggression (PRA)",",aggressive behavior,interpersonal behavior,social behavior","1,1,1,1",1,"Social cognition and behavior,Personality,NA","0.67,0.33,0","1,1,210",1,"RADAR"
